Date,Open,High,Low,Close,Adj Close,Volume,USD_to_EUR,GDP,NonFarm_Payroll,3_month_Libor,Unemployment
43088,2692.709961,2694.439941,2680.73999,2681.469971,2681.469971,3368590000,1.1822,18223.758,148530,1.64203,6278
43087,2685.919922,2694.969971,2685.919922,2690.159912,2690.159912,3724660000,1.1804,18223.758,148530,1.62548,6278
43084,2660.629883,2679.629883,2659.139893,2675.810059,2675.810059,5723920000,1.1778,18223.758,148530,1.61331,6278
43083,2665.870117,2668.090088,2652.01001,2652.01001,2652.01001,3430030000,1.1778,18223.758,148530,1.60042,6278
43082,2667.590088,2671.879883,2662.850098,2662.850098,2662.850098,3542370000,1.1762,18223.758,148530,1.58849,6278
43081,2661.72998,2669.719971,2659.780029,2664.110107,2664.110107,3555680000,1.1725,18223.758,148530,1.57352,6278
43080,2652.189941,2660.330078,2651.469971,2659.98999,2659.98999,3091950000,1.1802,18223.758,148530,1.56347,6278
43077,2646.209961,2651.649902,2644.100098,2651.5,2651.5,3106150000,1.1761,18223.758,148530,1.54878,6278
43076,2628.379883,2640.98999,2626.530029,2636.97998,2636.97998,3292400000,1.179,18223.758,148530,1.53606,6278
43075,2626.23999,2634.409912,2624.75,2629.27002,2629.27002,3229000000,1.1788,18223.758,148530,1.52263,6278
43074,2639.780029,2648.719971,2627.72998,2629.570068,2629.570068,3539040000,1.182,18223.758,148530,1.51532,6278
43073,2657.189941,2665.189941,2639.030029,2639.439941,2639.439941,4023150000,1.1848,18223.758,148530,1.50849,6278
43070,2645.100098,2650.620117,2605.52002,2642.219971,2642.219971,3942320000,1.191,18223.758,148530,1.49463,6278
43069,2633.929932,2657.73999,2633.929932,2647.580078,2647.580078,4938490000,1.1898,18223.758,148783,1.48738,6286
43068,2627.820068,2634.889893,2620.320068,2626.070068,2626.070068,4078280000,1.1858,18223.758,148783,1.48063,6286
43067,2605.939941,2627.689941,2605.439941,2627.040039,2627.040039,3488420000,1.1878,18223.758,148783,1.47882,6286
43066,2602.659912,2606.409912,2598.870117,2601.419922,2601.419922,3006860000,1.1911,18223.758,148783,1.47725,6286
43063,2600.419922,2604.209961,2600.419922,2602.419922,2602.419922,1349780000,1.1936,18223.758,148783,1.46763,6286
43061,2600.310059,2600.939941,2595.22998,2597.080078,2597.080078,2762950000,1.1789,18223.758,148783,1.46233,6286
43060,2589.169922,2601.189941,2589.169922,2599.030029,2599.030029,3332720000,1.1741,18223.758,148783,1.454,6286
43059,2579.48999,2584.639893,2578.23999,2582.139893,2582.139893,3003540000,1.1741,18223.758,148783,1.44594,6286
43056,2582.939941,2583.959961,2577.620117,2578.850098,2578.850098,3300160000,1.1799,18223.758,148783,1.44067,6286
43055,2572.949951,2590.090088,2572.949951,2585.639893,2585.639893,3312710000,1.1772,18223.758,148783,1.43567,6286
43054,2569.449951,2572.840088,2557.449951,2564.620117,2564.620117,3558890000,1.1794,18223.758,148783,1.4219,6286
43053,2577.75,2579.659912,2566.560059,2578.870117,2578.870117,3641760000,1.1764,18223.758,148783,1.41899,6286
43052,2576.530029,2587.659912,2574.47998,2584.840088,2584.840088,3402930000,1.1656,18223.758,148783,1.41586,6286
43049,2580.179932,2583.810059,2575.570068,2582.300049,2582.300049,3486910000,1.1648,18223.758,148783,1.41289,6286
43048,2584,2586.5,2566.330078,2584.620117,2584.620117,3831610000,1.1648,18223.758,148783,1.41289,6286
43047,2588.709961,2595.469971,2585.02002,2594.379883,2594.379883,3899360000,1.1591,18223.758,148783,1.40981,6286
43046,2592.110107,2597.02002,2584.350098,2590.639893,2590.639893,3809650000,1.1577,18223.758,148783,1.40258,6286
43045,2587.469971,2593.379883,2585.659912,2591.129883,2591.129883,3539080000,1.16,18223.758,148783,1.39703,6286
43042,2581.929932,2588.419922,2576.77002,2587.840088,2587.840088,3567710000,1.1616,18223.758,148783,1.39194,6286
43041,2579.459961,2581.110107,2566.169922,2579.850098,2579.850098,4048270000,1.1672,18223.758,148783,1.39139,6286
43040,2583.209961,2588.399902,2574.919922,2579.360107,2579.360107,3813180000,1.1618,18223.758,148783,1.38483,6286
43039,2575.98999,2578.290039,2572.149902,2575.26001,2575.26001,3827230000,1.1648,18223.758,148203,1.38122,6242
43038,2577.75,2580.030029,2568.25,2572.830078,2572.830078,3658870000,1.1626,18223.758,148203,1.37678,6242
43035,2570.26001,2582.97998,2565.939941,2581.070068,2581.070068,3887110000,1.158,18223.758,148203,1.38009,6242
43034,2560.080078,2567.070068,2559.800049,2560.399902,2560.399902,3869050000,1.17,18223.758,148203,1.37796,6242
43033,2566.52002,2567.399902,2544,2557.149902,2557.149902,3874510000,1.1802,18223.758,148203,1.37446,6242
43032,2568.659912,2572.179932,2565.580078,2569.129883,2569.129883,3427330000,1.1766,18223.758,148203,1.37064,6242
43031,2578.080078,2578.290039,2564.330078,2564.97998,2564.97998,3211710000,1.1762,18223.758,148203,1.36742,6242
43028,2567.560059,2575.439941,2567.560059,2575.209961,2575.209961,3384650000,1.177,18223.758,148203,1.36476,6242
43027,2553.389893,2562.360107,2547.919922,2562.100098,2562.100098,2990710000,1.1842,18223.758,148203,1.3625,6242
43026,2562.870117,2564.110107,2559.669922,2561.26001,2561.26001,2998090000,1.1775,18223.758,148203,1.36261,6242
43025,2557.169922,2559.709961,2554.689941,2559.360107,2559.360107,2889390000,1.1754,18223.758,148203,1.35733,6242
43024,2555.570068,2559.469971,2552.639893,2557.639893,2557.639893,2916020000,1.181,18223.758,148203,1.35389,6242
43021,2555.659912,2557.649902,2552.090088,2553.169922,2553.169922,3149440000,1.1837,18223.758,148203,1.35333,6242
43020,2552.879883,2555.330078,2548.310059,2550.929932,2550.929932,3151510000,1.184,18223.758,148203,1.35917,6242
43019,2550.620117,2555.23999,2547.949951,2555.23999,2555.23999,2976090000,1.1847,18223.758,148203,1.35861,6242
